id,show_number,title,description,provider
154,524,Bring back bookmarklets!,"Wes and Scott discuss bookmarklets - JavaScript snippets that run on any page when clicked. They explain what bookmarklets are, how to use them, and share examples.",anthropic
155,523,Neovim vs Vim and Lua Integration with TJ DeVries,"TJ DeVries discusses Neovim, Lua integration, and the difference between Neovim and Vim.",anthropic
156,522,"Forget Frameworks, Just Use the Platform!",Wes and Scott discuss using browser APIs and vanilla JavaScript instead of frameworks and libraries.,anthropic
157,521,JavaScript Jargon Explained,"Scott and Wes explain common JavaScript jargon like syntactic sugar, declarative programming, and more.",anthropic
158,520,From Graphcool to Prisma - The Evolution of an ORM,"Nicholas Burke from Prisma discusses the evolution of Prisma from Graphcool to Prisma 1 to Prisma today, which is now a general purpose ORM.",anthropic
159,519,Emoji CSS Areas & Project Estimation,"Wes and Scott answer listener questions about using emoji in CSS, estimating project timelines, going to football games, and more.",anthropic
160,518,Defeating Project Blahs: 9 Hacks to Finally Ship It,Wes and Scott discuss tips for pushing through the last 10% of a project when you get project blahs and start to lose motivation.,anthropic
161,517,Making Open Source Sauce with B Dougie,"Scott and Wes interview Brian Douglas about his background in engineering and open source and his project Open Sauce to make open source more approachable. They also discuss GitHub's GraphQL API and Brian's experience with live streaming.",anthropic
162,516,"Wes' Extreme DIY Soundproof Office Build","Wes details building his new soundproof basement office from scratch including framing, wiring, soundproofing materials and tradeoffs.",anthropic
163,515,Enhance JS: A New Web Standards HTML Framework,"A new HTML framework called Enhance JS that uses web standards and provides lightweight components, file-based routing, server-side rendering, and easy to write components.",anthropic
164,514,Reinventing Browsers for the 2020s with Arc Browser,"Hirsch Agarwal discusses founding the Arc browser company, focusing on reinventing the browser UI/UX, building with Swift, designing for delight, and planning for subscriptions without compromising user experience.",anthropic
165,513,"GTD Systems, Task Prioritization, and Productivity Techniques","Scott and Wes discuss productivity techniques like the Getting Things Done system and Pomodoro technique, as well as tips for managing tasks, prioritizing work, and making time for creative exploration.",anthropic
166,512,AI Coding: Is GitHub Copilot Worth It?,"Discussion of GitHub Copilot and other AI coding tools - how they work, concerns, pricing, and whether they help or hurt developers.",anthropic
167,511,Inside Raycast: Building a Native Productivity App with a Declarative Extension API,"Discussion with Thomas from Raycast about building the productivity app and its native architecture, React-based extension API, and local storage using SQLite.",anthropic
168,510,How to Build an API in 2022,"This podcast episode provides a comprehensive overview of building a web API, covering topics like the various layers and components involved, popular API types like REST and GraphQL, authentication and permissions, caching, database options, and more.",anthropic
169,509,Using PostCSS to Write Next-Gen CSS Today,"This episode covers using PostCSS to write next generation CSS today including topics like postcss plugins, imports, nesting, custom media queries, env vars, and color functions.",anthropic
170,508,"Interview with Twitch streamer Primogen on live coding, skateboarding, and Turok","Scott and Wes interview Primogen, a Twitch streamer and Vim user who talks about where his name comes from, the different types of coding streamers, and why people watch live coding.",anthropic
171,507,"Potluck: Objects, Testing, Standing Desks, and VSCode Tips","In this potluck episode, Scott and Wes answer questions on object creation performance, VSCode types, standing desks, and more.",anthropic
172,506,Deno Challenges Node with NPM Support and Speed,"Deno has announced compatibility with Node and NPM, making it easier to use existing packages. They also have the fastest JS web server and good TypeScript support, so Node may fall behind.",anthropic
173,505,From Digital Ink to TLDraw: Making a React Canvas,"Steve Ruiz discusses the development of his open source React drawing canvas TLDraw, explaining the inspiration and technology behind it.",anthropic
174,504,"Back to School: Kindergarten, New Offices, Soundproofing, and Portfolio Reviews","Wes and Scott discuss the first day of kindergarten, setting up Wes' new office, soundproofing with acoustic panels, and then transition to reviewing developer portfolios.",anthropic
175,503,The ultimate margin showdown,"Discussion of various techniques for handling margins and layout in CSS including collapsing margins, padding vs margins, flexbox, grid, and using spacer divs.",anthropic
176,502,The Open Source Firebase Alternative for Your Next Project,"Brandon Roberts discusses AppRight, an open source self-hosted backend for web and mobile apps. It provides database, auth, storage, functions and more out of the box.",anthropic
177,501,The School Runaround and Getting Off the Main Thread,"In this episode, Wes and Scott discuss the differences between public and private schools in Denver and the challenges of getting kids into preferred schools. They then provide an overview of threads, concurrency and parallelism in programming languages and how JavaScript only has a single thread. They use examples like green screening webcams to demonstrate when you may need to offload work to other threads using web workers.",anthropic
178,500,"Syntax Turns 500! Milestones, Faves, and YOUR Questions!","Scott and Wes celebrate 500 episodes by looking back at milestones, favorite moments and episodes, and answering listener questions.",anthropic
179,499,"Svelte creator Rich Harrison on Svelte's benefits over React","In this episode, Rich Harrison provides an intro to Svelte and discusses its developer experience benefits, templating language, immutability, compilation process, lack of virtual DOM, and more.",anthropic
180,498,Web Dev Job Types - Agency vs Startup vs Corporate,"Scott and Wes discuss the pros and cons of different web development jobs like agencies, tech companies, startups and freelancing.",anthropic
181,497,"New CSS proposals bring if/else, masonry, caret styling, nesting, env vars, and better media queries!","In this episode Scott and Wes discuss upcoming CSS proposals like at win/else, masonry layout, caret styling, nesting, env variables, and improvements to media queries.",anthropic
182,496,"Shopify's Hydrogen allows SSR React ecommerce sites to deploy anywhere","Josh Larson from Shopify discusses their new Hydrogen framework for building custom headless ecommerce stores using React and Shopify. He covers topics like server side rendering, React Server Components, and deploying the same code to multiple JavaScript environments.",anthropic
183,495,"Caching, PDFs, SvelteKit, and Stripe vs PayPal","In this potluck episode, Wes and Scott answer developer questions on topics like caching slow APIs, generating PDFs from HTML, whether to learn SvelteKit before it hits v1, and more.",anthropic
184,494,Do you really need to worry about supporting every browser?,"Overview of major browser engines like Chromium, Gecko, WebKit and dive into lesser known mobile browsers to see if you need to support them.",anthropic
185,493,React Suspense and Next.js Perf with Lee Robinson,"Lee Robinson from Vercel discusses React Suspense, selective hydration, Next.js, and performance techniques.",anthropic
186,492,Web Dev Wish List: Things We Wish Just Worked Better,Scott and Wes discuss frustrations with web development and wish for better defaults and APIs.,anthropic
187,491,Exciting New Fart Apps! Learn By Building Silly Stuff,Wes and Scott discuss ways to spark creativity and excitement in coding through fun side projects that serve no purpose.,anthropic
188,490,From Blog to SaaS Empire - The AwesomeMotive Story,Saeed Balkhi discusses growing his company AwesomeMotive from a WordPress tutorial blog into a suite of over 30 web services and software tools.,anthropic
189,489,"Potluck! Old Node Projects, Package Versions, and More","Wes and Scott discuss resolving NPM errors when starting old projects, compatibility across Node versions, and specifying required versions in package.json.",anthropic
190,488,What is Bun? The Speedy New JS Runtime,"This episode covers Bun, a new JavaScript runtime focused on performance and batteries included tools like a bundler and transpiler.",anthropic
191,487,Graph Databases Explained,"Adam Cowley from Neo4j explains graph databases, how they work, use cases, and how to query data with Cypher. He discusses how Neo4j can be used in web development.",anthropic
192,486,"Our Takes on Tabs vs Spaces, Semicolons, Naming Conventions, and More - Syntax #486","In this episode of Syntax, Wes and Scott discuss their coding styles and preferences in JavaScript and CSS.",anthropic
193,485,Playing Stumped - Tasty Web Dev Interview Questions,"Wes and Scott play a game of Stumped, asking each other random interview questions and trying to explain the answers.",anthropic
194,484,"From Mainframes to 70,000 Serverless Functions with Christy Perreault","Christy Perreault from Liberty Mutual discusses how they leverage serverless to support 5000 developers building customer-facing and internal apps. She covers Liberty Mutual's journey from on-prem to serverless, the costs savings and auto-scaling benefits, supporting developer preferences, and local development recommendations.",anthropic
195,483,"Peer Dependencies, NAS Woes, Home Assistant, and Vite + Vitest Clarified","In this potluck episode, Wes and Scott discuss NAS networking, Home Assistant, peer dependencies in npm, and transpilation when using Vite and Vitest.",anthropic
196,482,Take Control of Values with Clamping & Interpolating Numbers,"Scott explains numeric clamping and interpolation, demonstrating how these techniques can help control values and create animations. He highlights the d3-interpolate library for interpolating numbers, colors, dates, and more.",anthropic
197,481,Voice Coding to Avoid RSI with Talon and CursorList,"Pokey Rule discusses coding by voice with Talon instead of keyboard due to RSI, creating grammars to map voice commands to actions, and demonstrates voice coding.",anthropic
198,480,How Conference Speaking Can Boost Your Career and Connections,"Wes and Scott discuss their experiences with conference speaking over the past 10 years, including the benefits like gaining legitimacy, improving public speaking skills, making connections, and traveling.",anthropic
199,479,CSS Color Level 5 Will Change How You Work With Color in CSS,"In this episode, Wes and Scott discuss upcoming CSS color functions that will allow developers to programmatically modify colors, including mixing colors, getting color contrasts, and altering color properties like hue, saturation, and lightness.",anthropic
200,478,Demystifying Developer Experience with Sean Wang aka Swyx,"In this SX dinner club episode, Sean Wang aka Swyx discusses developer experience (DX) - what it is, why it matters, how tools like React and Svelte compare, and how DevRel roles are evolving.",anthropic
201,477,7 Easy Communication Tips to Level Up Your Skills,"Communication tips for email, meetings, code reviews, spanning topics like numbering questions, bolding important parts, using paragraphs, and recognizing when you're asking a lot.",anthropic
202,476,New Browser Page Transitions API for Smooth Web Animations,"Discussion of a new browser API proposal for smooth page transitions on the web, allowing for animated transitions between pages similar to native mobile apps.",anthropic
203,475,Building Browser Extensions and Tools Like a Weather Extension and t.ly URL Shortener,Discussion with Tim Leland who has built several successful browser extensions like a weather extension using Dark Sky and a URL shortener called t.ly. He talks about how he builds and monetizes the extensions.,anthropic
204,474,"The Look Ahead at Home Automation: Protocols, Software Hacks, and the Quest for Family Buy-in","An overview of home automation protocols, software options like Homebridge, how it leads to family buy-in, and the ways automation can improve upon analog problems.",anthropic
205,473,New viewport units to rescue us from the shifting elements of mobile browsers,Wes and Scott discuss new viewport units in CSS that help deal with things like the URL bar shifting on mobile browsers.,anthropic
206,472,Edge Functions and Deno with Eduardo Bouças of Netlify,"Discussion with Eduardo Bocas from Netlify about edge functions, Deno, serverless, and more.",anthropic
207,471,"Potluck - Databases, Languages, CSS, and Anime Villains","Wes and Scott answer listener questions on topics like hosting databases, learning new programming languages, fitness goals, CSS environment variables, and more.",anthropic
208,470,I can has() new CSS selectors?! ,"Wes and Scott discuss new CSS selectors like has(), where() and is() that allow powerful new ways to select elements.",anthropic
209,469,Will no code take our jobs? A discussion on the no code movement,"Connor Finlayson discusses the no code movement, whether it will replace developers, popular no code tools like Webflow and Airtable, resources for learning, and advice for beginners.",anthropic
210,468,Live Podcast with Debates and Audience Participation at Reactathon,"Wes Bos and Scott Tolinski host a live podcast episode from Reactathon, featuring debates, old code, syntax errors, JS or NAS, and audience Q&A.",anthropic
211,467,Stopping Malicious Actors from Abusing Your Website,"Wes Bos and Scott Tolinski discuss ways that malicious actors can abuse your web application, and different techniques to prevent abuse like rate limiting, shadow banning, tokens, CAPTCHA, and more.",anthropic
212,466,From Developer to Farmer: Escaping Burnout Through Gardening,"Wes and Scott talk with Anselm Hannemann about how he transitioned from web developer to gardener to avoid burnout, the joys of growing your own food, and tips for avoiding burnout in the tech industry.",anthropic
213,465,Git Workflow in VS Code,"Wes and Scott discuss using Git version control in VS Code, including built-in features and extensions that enhance the developer workflow.",anthropic
214,464,A deep dive into cache control headers,Discussion on how cache control headers work and how they can be used to improve website performance.,anthropic
215,463,Fullstack Framework for Scaling from Side Project to Startup,"Tom Preston-Werner, founder of GitHub, discusses his work on RedwoodJS, an opinionated fullstack JS framework to help developers build and scale web apps faster.",anthropic
216,462,"TypeScript Tooling Explained: Compilers, Build Tools, IDEs, and More","Overview of the various TypeScript tooling options including type checkers, compilers, build tools, IDEs, configs, and recommendations for server-side usage.",anthropic
217,461,"Tour of Scott's Home Office: The LevelUp Lodge","In this episode, Scott gives a tour of his home office setup called the LevelUp Lodge, going over all the gear, lighting, audio equipment, tech and other elements that make it an ideal workspace.",anthropic
218,460,Simplify Monorepos and Builds with Turborepo,"Jared Palmer discusses Turborepo, monorepos, efficient workflows, and getting acquired by Vercel.",anthropic
219,459,"Next.js Benefits, Game Logic, NoSQL Databases, and OSS Protestware","Wes and Scott answer listener questions about Next.js, database options, build tools, protestware packages, and game development.",anthropic
220,458,Making JavaScript Just WorkTM Across Environments,"Wes and Scott discuss a new initiative by Cloudflare and others to improve web interoperability across various JavaScript runtime environments like browsers, Node.js and edge functions.",anthropic
221,457,Mastering Monorepos with NX,"Victor Savkin discusses NX, a development environment and build system designed for monorepos. He covers the core orchestration features, optional plugins, caching, distribution, migrations, and more.",anthropic
222,456,10 Nifty Browser APIs for Fun Side Projects,"Discussion of 10 interesting browser APIs for accessing user data and hardware like webcam, geolocation, animations, speech, and more.",anthropic
223,455,Narrowing Down Problems in TypeScript,"An episode discussing TypeScript fundamentals like type narrowing, discriminated unions, and strategies for type guards.",anthropic
224,454,WTF is Edge Computing,"Discussion on what edge computing is, how it works, use cases, upsides and downsides.",anthropic
225,453,The REAL Reasons Developers Still Use Axios Over Fetch,"Wes and Scott discuss why developers still use the Axios library instead of the native fetch API for network requests in JavaScript. They go over various features like interceptors, progress events, and adapters that make Axios powerful.",anthropic
226,452,The Great JavaScript Stumpening,"Wes and Scott quiz each other on random JavaScript interview questions and discuss techniques and concepts like weak maps, promises, and variable swapping.",anthropic
227,451,Coupon Code Chaos: Building Custom Coupon Engines,"Scott and Wes discuss strategies and challenges around building custom coupon logic and engines for ecommerce sites and course platforms. They share tips on implementing constraints, conditional rules, tracking, expiration, and more.",anthropic
228,450,"Teamwork, Imposter Syndrome, Icons, Service Workers, Next.js, Bad Clients - Syntax #450","Scott and Wes answer listener questions about working on a development team, dealing with imposter syndrome, using icon libraries, fixing broken service workers, building fullstack apps in Next.js, when to move a project to production, and dealing with bad clients.",anthropic
229,449,Spinning cubes and physics in the browser with Svelte Cubed,"Scott discusses generating 3D visualizations, animations, and physics simulations in the browser using Svelte Cubed and Three.js.",anthropic
230,448,Cruising into the future in a new EV,"In this episode of Syntax, Scott talks about his new Hyundai Ioniq 5 electric vehicle and its features. Wes and Scott also answer listener questions about adding interactivity to a Drupal site and whether presentational React components can be non-leaf components.",anthropic
231,447,"18 Hacks for Being Consistent at Coding, Content Creation, and Life Goals","Wes and Scott share tips for maintaining consistency with producing content, coding projects, exercising, and other life goals. They discuss the importance of committing to a reasonable schedule, planning time to work on goals, being accountable to others, breaking big tasks down, and measuring progress.",anthropic
232,446,Wes and Scott on Generating and Structuring Content,"In this Making Content × What is our Process? episode, Wes and Scott share their strategies for developing ideas and structuring content across mediums like YouTube, conferences, courses, blogs, and podcasts.",anthropic
233,445,Types in JS? Breaking down new proposal to add TypeScript syntax to JavaScript,Discussion on new proposal to add optional TypeScript-style types to JavaScript for improved developer experience.,anthropic
234,444,Syntax Highlight: Reviewing Developer Portfolios,"Wes and Scott review developer portfolio sites, providing feedback on design, user experience, and accessibility.",anthropic
235,443,"What's Up With Vitest? A Blazing Fast Modern Test Runner","Scott and Wes discuss Vitest, a new fast and modern JavaScript test runner that aims to replace Jest. They cover Vitest's features like built-in TypeScript support, compatibility with Jest, mocking, filtering, snapshots, code coverage, DOM mocking, in-file testing, and easy setup.",anthropic
236,442,Our Updated Course Platform Tech Stacks Explained and Compared,"Wes Boss and Scott Tolinski explain and compare the tech stacks they use for their online course platforms, which have changed over the years but accomplish similar goals in different ways.",anthropic
237,441,"Untangling Render, Let's Encrypt, and Cloudflare","Discussion on moving hosting to Render and using Cloudflare's proxy service with auto-generated SSL certificates.",anthropic
238,440,Handling Auth and Git Conflicts - Potluck,"Scott and Wes answer listener questions submitted on a variety of web development topics including authentication, motivation, tools, and favorite products.",anthropic
239,439,SSR vs Jamstack vs Serverless? We Break Down the Letters,"Explains the differences between server side rendering, Jamstack, and serverless web development approaches.",anthropic
240,438,The Tastiest Parts of the State of JS 2021,"Wes and Scott discuss the results of the 2021 State of JS survey covering topics like languages, testing, pain points and more.",anthropic
241,437,Wes Bos shares sticker mogul secrets after massive 165k unit drop,"Wes talks about the logistics of his recent giant sticker drop, including printing, packing, selling, shipping, costs and more.",anthropic
242,436,Hot Takes on the State of JS in 2022,"Scott and Wes review highlights from the latest State of JS survey results, covering developer demographics, language features, frameworks, build tools and more.",anthropic
243,435,JavaScript & CSS: This vs That,"Wes and Scott discuss and compare JavaScript and CSS features like array methods, looping, object properties, positioning, and more.",anthropic
244,434,"Ben Vinegar on Distributed Tracing, Career Paths, Open Source and Sentry","Ben Vinegar joins to discuss his work in web development and open source, distributed tracing, Sentry's evolution, remote work impacts and more.",anthropic
245,433,New JavaScript Features in 2022,"Discussion of new and proposed JavaScript features in 2022 including the Fetch API in Node.js, pipeline operator, JSON modules, BigInt math methods and more.",anthropic
246,432,"Webpack, HTML, TypeScript, 2FA, JS Alternatives, Remix vs SvelteKit, Tutorials, Frameworks, New Technologies","In this potluck episode, Scott and Wes answer questions on Webpack, HTML tags, TypeScript, 2FA recovery codes, JavaScript alternatives, React frameworks like Remix and SvelteKit, getting unstuck from tutorial purgatory, whether frameworks abstract away too much complexity, and strategies for keeping up with new web technologies.",anthropic
247,431,Spelunking OSS Repos for Fun and Profit,"Scott and Wes discuss how to stay up-to-date on changes and new features in open source projects you use by looking at RFCs, issues, pull requests, and following project contributors on Twitter.",anthropic
248,430,Creator of Wordle - Josh Wardle | Syntax Podcast #430,"Josh Wardle, creator of Wordle, joins to discuss building the insanely viral web game using vanilla JavaScript and web components. He shares the origins, growth timeline, technology decisions, and sale to The New York Times.",anthropic
249,429,JavaScript Servers Smackdown,"Discussion of pros and cons of different JavaScript server options like traditional hosting, serverless functions and Cloudflare Workers.",anthropic
250,428,Syntax Highlight - Reviewing your portfolio sites,"Scott and Wes review listener submitted portfolio sites, talking through design, code quality, accessibility, and more. They also discuss trying too hard to use the latest tech trends.",anthropic
251,427,Teamwork Tips for Web Developers,"Tips for working effectively in teams, handling conflict, listening, and celebrating wins together.",anthropic
252,426,"Monorepos! Workspaces, pnpm, Turborepo + more!","Wes and Scott discuss monorepos - managing multiple packages and projects within a single Git repository. They cover benefits like sharing code, tools like Turborepo, NX, Lerna and more.",anthropic
253,425,"Updating Project Dependencies: Patches, Minors, Majors, and Breaking Changes",Wes Bos and Scott Tolinski discuss strategies and best practices for updating dependencies and managing breaking changes in a Node.js project.,anthropic
254,424,Level up your skills in 2022,"Scott and Wes give coding, soft skills, and random skill focuses for beginner, intermediate, and advanced developers for 2022.",anthropic
255,423,"10 Web Dev Hacks We're Totally Fine With",Wes and Scott discuss common web development techniques that seem hacky but are actually valid ways to solve problems.,anthropic
256,422,"Potluck! Protecting Images, Learning TypeScript, Auth, Time Zones, Prettier, Monorepos, Retool","In this potluck episode, Scott and Wes answer questions about protecting images, learning TypeScript, staying focused, backend languages, media queries in Svelte, implementing auth and payments, tools for debugging, working across time zones, introducing Prettier, monorepos, and using Retool to build internal tools.",anthropic
257,421,Remix - A Tasty New Framework for Modern Web Development,"Scott and Wes discuss Remix, the new web development framework created by the makers of React Router. They talk about its benefits like server side rendering, simplified data fetching, and excellent developer experience.",anthropic
258,420,Web development predictions for 2022,"Wes Bos and Scott Tolinski discuss their predictions for web development trends in 2022, covering topics like Svelte, Tailwind CSS, Rust, GraphQL, TypeScript, payment platforms and more.",anthropic
259,419,Level up your JS game with 12 handy one-liners,"Wes and Scott discuss handy JavaScript one-liners for common use cases like generating IDs, pausing execution, speeding up media playback, and more.",anthropic
260,418,"Syntax 2021: 104 Episodes, Svelte Rewrites, TypeScript Course, and More","Scott and Wes recap the highlights from 2021 including moving houses, course updates, and tech experiments.",anthropic
261,417,Holiday Snackluck Q&A,Wes and Scott do a holiday themed snackluck episode where they answer shorter questions sent in by listeners.,anthropic
262,416,"Coding in the Cloud, Blockchains, NFTs, and Living in a Van","In this episode Wes and Scott are joined by Pauline and Jeff from Gitpod to discuss coding in the cloud, blockchain, NFTs, remote work and more.",anthropic
263,415,Gatsby 4: Faster Builds and Parity with Next.js,"In this episode Scott and Wes discuss the new features in Gatsby 4 including deferred static generation, server side rendering and parallel queries for performance.",anthropic
264,414,"Chrome UX, REST vs GraphQL, ADHD, Redirects, and More!","Scott and Wes answer questions on Chrome UX metrics, REST vs GraphQL, using enums in TypeScript, WebAssembly, ADHD as a developer, redirect status codes, and more.",anthropic
265,413,Transitioning from React to Svelte,"Covers building a Svelte app including local state, reactivity, conditional rendering, input binding, and child components.",anthropic
266,412,JavaScript Running The World - Industral Automation with Ant Rogen,"Ant Rogen joins to discuss his experience with industrial automation and using JavaScript and web technology to interface with PLCs, sensors, factories and more.",anthropic
267,411,Mastering Meta Tags for Better Websites,"Wes and Scott discuss various meta tags used in web development including character encoding, viewport, SEO, social sharing, and mobile customization.",anthropic
268,410,Everything in Web Development is SO Much Better Now,"Wes and Scott talk about how much web development tools, languages and infrastructure have improved over the past 5-10 years, making developers' lives easier and code simpler and more powerful.",anthropic
269,409,GitHub Copilot - Your New AI Pair Programmer,"Wes Bos and Scott Tolinski discuss their experiences using GitHub Copilot, an AI pair programmer that suggests code as you type.",anthropic
270,408,Troubleshooting Tips for Web Developers,Wes and Scott discuss techniques and tips for troubleshooting code and software systems.,anthropic
271,407,The 16-inch M1 Max MacBook Pro Review,Wes and Scott discuss their experiences switching to the new 16-inch M1 Max MacBook Pro for development and creative work,anthropic
272,406,"GitHub Copilot, Eye Care, Stress Management & More!","Potluck episode covering GitHub Copilot, glasses, stress, company sizes, design, CMS, security and more.",anthropic
273,405,"Next.js 12 Brings Faster Builds, Middleware, and More Sweet New Features","Scott and Wes discuss the new features in Next.js 12 including a new Rust compiler, middleware support, React 18 support, AVIF image support, bot detection for ISR, ES modules, and more.",anthropic
274,404,Running Node in the Browser with Web Containers,"Tomac joins to discuss StackBlitz, an online IDE powered by web containers and running environments like Node directly in the browser via WebAssembly.",anthropic
275,403,"What's the Deal with Astro? A New Framework for Fast Static Sites","Wes and Scott discuss Astro, a new framework for building fast static websites using components and minimal client-side JavaScript.",anthropic
276,402,Master CSS interview questions by getting Stumped,"Scott and Wes play a game of Stumped focused on CSS interview questions to quiz each other's knowledge.",anthropic
277,401,Faster NPM with PNPM Monorepos,"Scott explains how to set up a monorepo using PNPM workspaces, with benefits like faster installs and easier sharing of code between projects.",anthropic
278,400,Spooky Web Dev Stories - Werewolf Edition,"Scott and Wes share horror stories submitted by developers about production bugs, data loss, performance issues, and more.",anthropic
279,399,Spooky Dev Horror Stories - The Hasty Treat,"Scott and Wes read funny and cringeworthy stories submitted by developers about mistakes they've made that caused bugs, crashes, and other issues.",anthropic
280,398,Potluck - Coding for Kids × MongoDB Hosting × CSS Values × Package Security × and More!,"Scott and Wes answer questions on policies, teaching, hubs, GraphQL, code, CSS, MongoDB, services, security, upgrades, sites, values, backup and images in a fun potluck show.",anthropic
281,397,Handy JavaScript Utilities for Every Dev,"Scott and Wes discuss JUST, a small JavaScript utility function library, its use cases and benefits over larger libraries like Lodash.",anthropic
282,396,The Potluck Podcast on Podcasting,"Covers how Wes and Scott run every aspect of the Syntax podcast from recording, planning, editing, promoting, sponsors, and more.",anthropic
283,395,The Tastiest New CSS Color Features,"Discussion of current and upcoming CSS color features like contrast functions, accent colors, color mixing, new color spaces and alpha transparency options.",anthropic
284,394,Potluck: Portfolios × Svelte Testing × MDX × WordPress Hosting,"Scott and Wes answer listener questions on a variety of web development topics including building portfolio sites, Svelte testing, MDX, WordPress hosting strategies, and more.",anthropic
285,393,Hot take: Modern JS is basically recreating PHP,"Wes and Scott discuss the merits of PHP and how modern JavaScript frameworks are reinventing many of its features like mixing logic and templates, hot reloading, and more.",anthropic
286,392,Web Dev Podcast Hosts Compete in Front End Feud,Web development podcast hosts compete in a game show testing their knowledge of frontend development.,anthropic
287,391,"New Hot Tech - Lucylang, MD Specs, Fig, Warp, Raycast, Obsidian, and Descript","Scott and Wes discuss new and popular developer tools and apps like Lucylang state machines, MD Specs for Svelte, Fig terminal autocomplete, Warp terminal in Rust, Raycast app launcher, Obsidian note taking app, and Descript audio/video editor.",anthropic
288,390,From React to SvelteKit,Scott rewrote his Level Up Tutorials site from React to SvelteKit and discusses his experience with the transition.,anthropic
289,389,Webhooks Demystified - How They Work and How to Test Them,Wes and Scott explain what webhooks are and how to use them for communication between servers and services.,anthropic
290,388,New in JavaScript - ES2022,"Overview of new JavaScript language features added in ECMAScript 2022 including top level await, the array .at() method, private fields and methods in classes, regex indices and more.",anthropic
291,387,"Wes Bos FINALLY Gets Fast Internet at his Cottage Thanks to SpaceX's Starlink Satellites","Wes Bos describes his experience getting Starlink satellite internet installed at his rural cottage, reviewing the speeds, latency, equipment, and networking setup.",anthropic
292,386,"Farewell Syntax Studio! Sass, No JS, Solid, Bartering Skills, Linux Laptops, GraphQL Svelte, Prisma MongoDB, Webpack Future","In this potluck episode, Scott and Wes bid farewell to the Syntax studio while discussing Sass, Houdini, building without JS, decentralized data with Solid, bartering skills, DRM, Linux laptops, using React and GraphQL with Svelte, MongoDB with Prisma, and predictions for Webpack's future.",anthropic
293,687,Hosting NextJS × Spicy Sidedishes × Modern Forms × Abandoning TypeScript,"The guys answer your questions about hosting options for Next.js apps, share some spicy takes about Firefox and CSS, lament the lack of good form options for modern web apps, and clarify some confusion around SvelteKit and Turborepo abandoning TypeScript.",anthropic
294,686,Syntax Website Secret Sauce,Wes and Scott discuss the technology stack and services powering the new Syntax.fm website.,anthropic
295,684,Spooky Coding Horror Stories 2023,"Web development horror stories about bugs, mistakes, and disasters",anthropic
296,683,"Cringe-Worthy Tales of Deleted Databases, Exposed Data, and More","Developers share horror stories of catastrophic mistakes like deleting databases, breaking site functionality, exposing data, and more.",anthropic
297,679,Creator of Swift unveils Mojo - a new Python language for AI,"Chris Lattner, creator of Swift and senior director at Google TensorFlow, discusses Mojo - a new Python-inspired language for AI and ML. He covers the history of GPUs, how machine learning models work, the fragmented AI dev landscape, and goals when designing a new programming language.",anthropic
298,682,Building Design Systems and Component Libraries with Brad Frost,"Brad Frost discusses design systems, component libraries, design tokens, developer experience, and using web components to build scalable front-end architecture.",anthropic
299,681,The Latest Advancements in AI Tools for Web Developers,"Wes and Scott discuss new advancements in AI tools and services for developers, including vzero.dev from Vercel to generate React UI, Anthropic's Claude chatbot, and new AI services from Cloudflare Workers.",anthropic
300,680,The Honorable Deaths of Web Dev Libraries,"In this episode Scott and Wes discuss various libraries and tools that have been replaced by standardized browser APIs and JavaScript features over the years, like jQuery, Express, Underscore, 960 Grid System, Sass, Socket.IO, Left Pad, etc.",anthropic
301,678,Devs react to most wanted CSS features in 2023,"Discussion of the 2023 State of CSS survey results covering frameworks, tools, features, pain points and more.",anthropic
302,677,Pimp Your Crib: Web Dev Home Office Hacks,Tips for optimizing your home office space for productivity and comfort as a developer working from home.,anthropic
303,385,"Type Strict: Explaining TypeScript's Strict Mode Settings",Wes and Scott discuss the different strict mode settings in TypeScript and why they can prevent bugs.,anthropic
304,384,"STUMP'D - JavaScript Coding Interview Questions","Scott and Wes go through a series of JavaScript coding interview questions, testing each other's knowledge on topics like first class functions, preventing default behavior, weak maps and more.",anthropic
305,383,How to Spot Toxic Clients Before Agreeing to Work with Them,"Wes and Scott discuss signs of toxic clients for freelancers like unclear project vision, scope creep, poor communication, rudeness, and bragging.",anthropic
306,382,15 Must-Know Tips for New Developers,"Scott and Wes share tips and advice for new developers just starting out, covering topics like learning fundamentals, debugging, soft skills, struggles all developers face, and more.",anthropic
307,381,"Hating on CSS is dumb - here's how to fix common CSS problems","Wes and Scott discuss common complaints about CSS and solutions like using Flexbox and Grid, avoiding IDs and !important, debugging in dev tools, and planning CSS structure.",anthropic
308,380,"Moist Code: Dealing with Tricky Freelance Projects, Funny Questions, Font Tools, and More!","Wes and Scott answer listener questions on React components, freelancing, ethics, moist code, debugging fonts, and more during a fun potluck episode.",anthropic
309,379,The Weird and Wonderful Link Tag,Discussion on the various uses of the link HTML tag beyond just linking.,anthropic
310,378,How to Build Your First Website From Scratch - For Total Beginners,"Emailer asks Wes and Scott to explain the basics of building a website from scratch using HTML, CSS and JavaScript for beginners with no experience.",anthropic
311,377,"TypeScript's Secret Utility Types to Write Better Code","Scott and Wes discuss TypeScript utility types, explaining what they are and why you might use them.",anthropic
312,376,"Potluck - WordPress, Backends, Job Prep, and Cooling Fans","Wes and Scott answer developer questions about WordPress vs advanced tech for clients, backend hosting, Drupal, CSS strategies, preparing for job interviews, home cooling fan setups, and podcast recommendations.",anthropic
